,name,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
172,Ardbeg Uigeadail,21,2,124,10,11,0,11,13,4,7,0,15,13,1,10,14
173,Glenlossie 10 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,BenRiach 15 Year Old Madeira Finish,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
175,Laphroaig 18 Year Old,2,1,5,1,0,0,2,0,0,1,1,4,0,1,0,0
176,Bunnahabhain Toiteach,4,1,21,1,0,0,4,4,0,1,0,6,2,1,3,2
177,The Naked Grouse The Naked Grouse,2,0,0,2,2,0,3,0,0,0,0,2,0,0,0,0
178,Glen Moray 16 Year Old,2,0,0,4,0,0,1,0,0,0,0,2,3,0,0,0
179,Glen Moray 10 Year Old Chardonnay,2,0,0,0,0,2,1,1,0,0,0,1,0,2,0,0
180,"Deer, Bear & Moose Tobermory 1995",2,0,0,2,0,0,10,3,2,0,0,0,0,0,0,2
181,Glenglassaugh 51 Year Old 1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,The Macallan 17 Year Old 1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Highland Park Leif Eriksson,0,1,2,1,0,1,2,0,0,2,0,0,1,0,0,0
184,Dalwhinnie Winter's Gold,2,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0
185,Lagavulin Distillers Edition 2015,3,1,10,2,1,1,0,0,0,0,0,3,0,0,0,1
186,Ardbeg 1998 Single Cask No. 1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,The Glenlivet Nadurra 16 YO 8013Y,0,3,0,1,0,0,6,3,0,1,1,2,3,0,0,0
188,Linkwood 12 Year Old,0,1,0,1,0,0,3,1,0,0,1,1,1,0,0,0
189,Bunnahabhain Cruach Mhona,2,0,2,1,0,0,1,0,1,1,0,0,0,0,0,1
190,SIA Blended Scotch Whisky,18,14,36,11,0,2,28,12,0,1,0,37,10,4,1,2
191,Tomatin Legacy,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0
192,Bruichladdich Octomore 07.3,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
193,Caol Ila Distillers Edition,0,0,4,0,0,0,1,3,0,0,0,1,0,1,0,0
194,Cutty Sark Prohibition,4,2,0,0,0,1,2,5,0,1,0,4,3,1,0,0
195,Ardmore The Ardmore 12 YO Port Wood Finish,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0
196,Port Ellen 1979 Gordon and MacPhail Rare Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Ledaig 18 Year Old Sherry Cask,1,0,3,1,1,0,1,2,0,1,0,1,0,0,0,1
198,The Macallan Rare Cask,2,4,1,9,1,0,3,4,0,6,0,15,0,0,0,0
199,Balblair Vintage 1990,1,1,0,1,1,0,0,2,0,0,0,3,1,0,0,0
200,The Dalmore Tay Dram - The Rivers Collection 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Tomatin 12 Year Old Cuatro Series #2 Manzanilla Sherry Cask Finish,0,0,1,2,1,0,3,1,1,0,0,1,0,0,1,0
202,The Macallan 16 Year Old 1997 - Old Particular,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Tomatin 14 Year Old Port Wood Finish,2,0,0,5,0,0,7,1,0,0,0,6,5,0,0,0
204,Old Pulteney Navigator,3,0,2,2,1,0,3,0,2,1,0,2,0,0,0,4
205,Cardhu Special Cask Reserve,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
206,Rare Malts Caol Ila 21 Year Old 1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Knockando 18 Year Old,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
208,The Glenrothes 25 Year Old,1,0,0,0,0,0,5,0,1,1,1,0,0,0,0,1
209,Scapa 16 Year Old,6,1,0,0,0,0,2,4,0,0,0,1,0,0,0,0
210,Dewar's 12 Year Old,0,1,1,1,0,1,2,1,0,0,1,1,0,0,0,0
211,Glen Garioch 15 YO Renaissance,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
212,Aberlour 15 YO Select Cask Reserve,2,2,0,1,1,0,2,2,0,0,0,1,0,0,0,0
213,Tamdhu Batch Strength,8,7,6,5,6,0,5,7,0,2,1,12,5,0,1,0
214,The Glenrothes Glenrothes Sherry Cask Reserve,1,0,1,3,5,0,4,4,0,0,0,4,1,0,1,0
215,Gordon & MacPhail Ardbeg Connoisseurs Choice 1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,A. D. Rattray Cask Islay,2,0,8,0,0,1,3,0,0,0,0,0,2,0,0,0
217,Isle of Jura Jura Tastival Whisky,1,0,0,1,0,0,4,2,0,0,0,0,0,1,0,0
218,Inchmurrin 18 Year Old,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
219,Rare Malts Royal Lochnagar 23 Year Old 1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,The GlenDronach 21 Year Old Parliament,4,0,0,1,6,0,3,2,0,2,0,2,1,0,0,0
221,The Macallan 21 Year Old 1990 - Directors' Cut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Midleton Very Rare Irish Whiskey,13,12,1,1,0,3,9,12,2,3,2,36,3,0,3,0
223,Crown Royal Northern Harvest Rye,4,1,0,2,0,21,3,16,0,2,0,13,6,1,1,0
224,Koval Single Barrel Millet Whiskey,13,2,8,3,0,7,26,7,2,2,1,29,5,5,0,1
225,Rothaus Black Forest Single Malt Whisky,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0
226,Amrut Single Malt Whisky,8,1,4,0,1,2,3,1,0,1,1,8,0,1,3,0
